country,schoolType,grossSchoolEnrollmentRatio,coverage
Peru,primary,101.4220963,79.40345
Philippines,secondary,88.38892365,53.96065
Philippines,primary,116.8188705,45.3509
Poland,secondary,108.7026215,100
Poland,primary,101.3105621,100
Portugal,secondary,116.395401,100
Portugal,primary,108.5115585,100
Qatar,primary,101.3638306,100
Qatar,secondary,109.411087,100
Romania,secondary,94.77507782,84.71
Romania,primary,95.54051971,63.52
Rwanda,secondary,39.11576843,64.903809999999993
Rwanda,primary,133.5823212,53.02252
Saint Kitts and Nevis,secondary,91.51831818,100
Saint Kitts and Nevis,primary,83.71916962,78.79
Saint Lucia,secondary,86.4571991,100
Saint Lucia,primary,100.2959518,99.16667
Saint Vincent and the Grenadines,primary,104.710289,100
Saint Vincent and the Grenadines,secondary,104.6867065,98.76543
Samoa,primary,106.1592102,100
Samoa,secondary,86.85121918,100
San Marino,secondary,94.6519928,100
San Marino,primary,93.30171967,100
Saudi Arabia,secondary,108.2878799,100
Saudi Arabia,primary,108.7161484,100
Senegal,secondary,40.06776047,78.77214
Senegal,primary,80.87622833,42.4764
Serbia,secondary,94.34441376,91.48
Serbia,primary,101.1311569,63.404
Seychelles,secondary,74.59213257,100
Seychelles,primary,104.1484528,100
Sierra Leone,secondary,43.4242897,71.16302
Sierra Leone,primary,130.0459595,55.02094
Slovakia,secondary,91.92215729,100
Slovakia,primary,100.9806824,100
Slovenia,primary,99.30357361,100
Slovenia,secondary,110.6707535,100
Solomon Islands,secondary,48.43679047,18.73
Solomon Islands,primary,113.8727264,19.56
South Sudan,primary,84.24507141,50.75758
Spain,secondary,130.1646576,100
Spain,primary,104.6902313,100
Sri Lanka,secondary,99.72451019,87.81625
Sri Lanka,primary,101.2704468,84.44383
Switzerland,secondary,99.76940918,100
Switzerland,primary,103.2310028,100
Togo,primary,125.1124802,20.20506
Tunisia,primary,113.0734863,69.5
Uganda,primary,109.886467,70.04405
United Arab Emirates,primary,106.7116699,100
United Arab Emirates,secondary,83.36691284,100
Uruguay,primary,109.7259674,100
Uruguay,secondary,94.06330109,100
Uzbekistan,primary,96.86116791,90.44566
Uzbekistan,secondary,95.41349792,89.02338
Yemen,secondary,48.62466049,45.98
Zambia,primary,103.652977,78.06883
Zambia,secondary,19.68644905,94
Zimbabwe,primary,99.93785858,64.44365
Zimbabwe,secondary,47.57019043,68.96297
