region,year,service_type,service_level,total,rural,urban
Latin America and the Caribbean,2004,Sanitation,At least basic,NA,52.05859,NA
Latin America and the Caribbean,2004,Sanitation,Safely managed service,13.70027,NA,17.0557
Latin America and the Caribbean,2004,Drinking water,At least basic,NA,75.29077,NA
Latin America and the Caribbean,2004,Drinking water,Safely managed service,57.24764,NA,82.39819
Latin America and the Caribbean,2005,Sanitation,At least basic,NA,54.47567,NA
Latin America and the Caribbean,2005,Sanitation,Safely managed service,14.59479,NA,17.97278
Latin America and the Caribbean,2005,Drinking water,At least basic,NA,76.3323,NA
Latin America and the Caribbean,2005,Drinking water,Safely managed service,57.45932,NA,82.39514
Latin America and the Caribbean,2006,Sanitation,At least basic,NA,55.78564,NA
Latin America and the Caribbean,2006,Sanitation,Safely managed service,15.40965,NA,18.89139
Latin America and the Caribbean,2006,Drinking water,At least basic,NA,77.37723,NA
Latin America and the Caribbean,2006,Drinking water,Safely managed service,57.6583,NA,82.38805
Latin America and the Caribbean,2007,Sanitation,At least basic,NA,57.10182,NA
Latin America and the Caribbean,2007,Sanitation,Safely managed service,16.67598,NA,20.37261
Latin America and the Caribbean,2007,Drinking water,At least basic,NA,78.42726,NA
Latin America and the Caribbean,2007,Drinking water,Safely managed service,57.84582,NA,82.36873
Latin America and the Caribbean,2008,Sanitation,At least basic,NA,58.41075,NA
Latin America and the Caribbean,2008,Sanitation,Safely managed service,17.97882,NA,21.8888
Latin America and the Caribbean,2008,Drinking water,At least basic,NA,79.46465,NA
Latin America and the Caribbean,2008,Drinking water,Safely managed service,58.02072,NA,82.33707
Latin America and the Caribbean,2009,Sanitation,At least basic,NA,59.71961,NA
Latin America and the Caribbean,2009,Sanitation,Safely managed service,19.32,NA,23.44267
Latin America and the Caribbean,2009,Drinking water,Safely managed service,72.8467,38.62934,82.32753
Latin America and the Caribbean,2010,Sanitation,At least basic,NA,61.0173,NA
Latin America and the Caribbean,2010,Sanitation,Safely managed service,20.70116,NA,25.03528
Latin America and the Caribbean,2010,Drinking water,Safely managed service,73.04579,39.02663,82.31739
Latin America and the Caribbean,2011,Sanitation,At least basic,NA,62.31492,NA
Latin America and the Caribbean,2011,Sanitation,Safely managed service,22.12285,NA,26.66731
Latin America and the Caribbean,2011,Drinking water,Safely managed service,73.25208,39.42597,82.32013
Latin America and the Caribbean,2012,Sanitation,At least basic,NA,63.61179,NA
Latin America and the Caribbean,2012,Sanitation,Safely managed service,23.58463,NA,28.33883
Latin America and the Caribbean,2012,Drinking water,Safely managed service,73.45427,39.82872,82.3225
Latin America and the Caribbean,2013,Sanitation,At least basic,NA,64.88563,NA
Latin America and the Caribbean,2013,Sanitation,Safely managed service,25.08607,NA,30.05023
Latin America and the Caribbean,2013,Drinking water,Safely managed service,73.64768,40.21351,82.32414
Latin America and the Caribbean,2014,Sanitation,At least basic,NA,66.14495,NA
Latin America and the Caribbean,2014,Sanitation,Safely managed service,26.62906,NA,31.80209
Latin America and the Caribbean,2014,Drinking water,Safely managed service,73.83605,40.59697,82.32372
Latin America and the Caribbean,2015,Sanitation,At least basic,NA,67.41087,NA
Latin America and the Caribbean,2015,Sanitation,Safely managed service,28.21259,NA,33.59318
Latin America and the Caribbean,2015,Drinking water,Safely managed service,74.01999,40.98464,82.32072
Latin America and the Caribbean,2016,Sanitation,At least basic,NA,68.66088,NA
Latin America and the Caribbean,2016,Sanitation,Safely managed service,29.73501,NA,35.2971
Latin America and the Caribbean,2016,Drinking water,Safely managed service,74.19159,41.35901,82.30975
Latin America and the Caribbean,2017,Sanitation,At least basic,NA,69.53774,NA
Latin America and the Caribbean,2017,Sanitation,Safely managed service,31.31875,NA,37.03025
Latin America and the Caribbean,2017,Drinking water,Safely managed service,74.31618,41.65876,82.26226
Northern Africa and Western Asia,2000,Sanitation,At least basic,NA,63.87993,NA
Northern Africa and Western Asia,2000,Sanitation,Safely managed service,26.24922,NA,39.8941
Northern Africa and Western Asia,2000,Drinking water,At least basic,84.12675,70.92563,94.3571
Northern Africa and Western Asia,2001,Sanitation,At least basic,NA,64.19199,NA
Northern Africa and Western Asia,2001,Sanitation,Safely managed service,26.66913,NA,40.14825
Northern Africa and Western Asia,2001,Drinking water,At least basic,84.28568,71.21557,94.2911
Northern Africa and Western Asia,2002,Sanitation,At least basic,NA,64.73841,NA
Northern Africa and Western Asia,2002,Sanitation,Safely managed service,27.02956,NA,40.54796
Northern Africa and Western Asia,2002,Drinking water,At least basic,84.61031,71.69773,94.37233
Northern Africa and Western Asia,2003,Sanitation,At least basic,NA,65.40739,NA
Northern Africa and Western Asia,2003,Sanitation,Safely managed service,27.70038,NA,41.14094
Northern Africa and Western Asia,2003,Drinking water,At least basic,85.0354,72.37901,94.48196
Northern Africa and Western Asia,2004,Sanitation,At least basic,NA,66.08967,NA
Northern Africa and Western Asia,2004,Sanitation,Safely managed service,28.40212,NA,41.76942
Northern Africa and Western Asia,2004,Drinking water,At least basic,85.46683,73.07284,94.59512
Northern Africa and Western Asia,2005,Sanitation,At least basic,NA,66.90032,NA
Northern Africa and Western Asia,2005,Sanitation,Safely managed service,29.18462,NA,42.47446
Northern Africa and Western Asia,2005,Drinking water,At least basic,86.02438,73.9729,94.76635
Northern Africa and Western Asia,2006,Sanitation,At least basic,NA,67.72587,NA
Northern Africa and Western Asia,2006,Sanitation,Safely managed service,29.97902,NA,43.17191
Northern Africa and Western Asia,2006,Drinking water,At least basic,86.60116,74.90051,94.95229
Northern Africa and Western Asia,2007,Sanitation,At least basic,NA,68.57169,NA
Northern Africa and Western Asia,2007,Sanitation,Safely managed service,30.79676,NA,43.89784
Northern Africa and Western Asia,2007,Drinking water,At least basic,87.18127,75.84608,95.14075
Northern Africa and Western Asia,2008,Sanitation,At least basic,NA,69.42093,NA
Northern Africa and Western Asia,2008,Sanitation,Safely managed service,31.61611,NA,44.62506
Northern Africa and Western Asia,2008,Drinking water,At least basic,87.75839,76.79998,95.32858
Northern Africa and Western Asia,2009,Sanitation,At least basic,NA,70.26176,NA
